"Verb","Cognitive Level (Noun)","Cognitive Level (Verb)","CognigtiveLevel","SrNoInCognigtiveLevel","VerbNotUnique"
"list","knowledge","remembering",1,1,
"tell","knowledge","remembering",1,2,"tell"
"arrange","knowledge","remembering",1,3,"arrange"
"identify","knowledge","remembering",1,4,"identify"
"reproduce","knowledge","remembering",1,5,
"relate","knowledge","remembering",1,6,"relate"
"state","knowledge","remembering",1,7,
"select","knowledge","remembering",1,8,"select"
"describe","knowledge","remembering",1,9,"describe"
"outlines","knowledge","remembering",1,10,
"recall","knowledge","remembering",1,11,
"label","knowledge","remembering",1,12,
"repeat","knowledge","remembering",1,13,
"name","knowledge","remembering",1,14,
"underline","knowledge","remembering",1,15,
"memorise","knowledge","remembering",1,16,
"recognise","knowledge","remembering",1,17,
"record","knowledge","remembering",1,18,
"define","knowledge","remembering",1,19,
"count","knowledge","remembering",1,20,
"draw","knowledge","remembering",1,21,
"match","knowledge","remembering",1,22,
"write","knowledge","remembering",1,23,
"recite","knowledge","remembering",1,24,
"quote","knowledge","remembering",1,25,
"point","knowledge","remembering",1,26,
"read","knowledge","remembering",1,27,
"explain","comprehension","understanding",2,1,"explain"
"discuss","comprehension","understanding",2,2,
"express","comprehension","understanding",2,3,
"locate","comprehension","understanding",2,4,
"report","comprehension","understanding",2,5,
"compare","comprehension","understanding",2,6,"compare"
"translate","comprehension","understanding",2,7,"translate"
"tell","comprehension","understanding",2,8,"tell1"
"classify","comprehension","understanding",2,9,"classify"
"review","comprehension","understanding",2,10,"review"
"summarise","comprehension","understanding",2,11,"summarise"
"estimate","comprehension","understanding",2,12,
"identify","comprehension","understanding",2,13,"identify1"
"reference","comprehension","understanding",2,14,
"associate","comprehension","understanding",2,15,
"critique","comprehension","understanding",2,16,"critique"
"illustrate","comprehension","understanding",2,17,"illustrate"
"reiterate","comprehension","understanding",2,18,
"restate","comprehension","understanding",2,19,
"describe","comprehension","understanding",2,20,"describe1"
"paraphrase","comprehension","understanding",2,21,
"interpret","comprehension","understanding",2,22,"interpret"
"generalise","comprehension","understanding",2,23,
"predict","comprehension","understanding",2,24,
"compute","comprehension","understanding",2,25,"compute"
"convert","comprehension","understanding",2,26,
"defend","comprehension","understanding",2,27,"defend"
"distinguish","comprehension","understanding",2,28,"distinguish"
"extend","comprehension","understanding",2,29,
"rewrite","comprehension","understanding",2,30,"rewrite"
"extrapolate","comprehension","understanding",2,31,"extrapolate"
"give","comprehension","understanding",2,32,
"example","comprehension","understanding",2,33,
"infer","comprehension","understanding",2,34,"infer"
"apply","application","applying",3,1,
"manipulate","application","applying",3,2,
"produce","application","applying",3,3,
"translate","application","applying",3,4,"translate1"
"discover","application","applying",3,5,
"interpolate","application","applying",3,6,
"use","application","applying",3,7,
